;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
400;19;Spillatore Birra Personale;comfort;azione;no;telefono;notifica;/;"""Aggiunta 'Ricarica Birra' alla lista della spesa di Google""";;;notification
401;19;Ciotola Smart;comfort;evento;no;ciotola cibo cane;premi bottone cibo;uguale;ON;AND;;pets
402;19;Ciotola Smart;comfort;condizione;no;ciotola cibo cane;contatore cibo;minore;3;;;pets
403;19;Ciotola Smart;comfort;azione;no;altoparlate ciototla;notifica vocale;/;"""Bravo""";AND;;notification
404;19;Ciotola Smart;comfort;azione;no;ciotola cibo cane;rilascia una porzione di cibo;uguale;ON;;;pets
405;19;Garage Intelligente;organizing/comfort;evento;outside home;sensore di prossimità;rileva macchina;uguale;TRUE;AND;;presence
406;19;Garage Intelligente;organizing/comfort;condizione;outside home;lettore infrarossi cancello;rileva segnale chiavi auto;uguale;TRUE;OR;;entrances
407;19;Garage Intelligente;organizing/comfort;condizione;outside home;telecamera intelligente cancello;lege targa;uguale;TRUE;;;entrances
408;19;Garage Intelligente;organizing/comfort;azione;garage;cancello;apri/chiudi;uguale;APRI;AND;;entrances
409;19;Garage Intelligente;organizing/comfort;azione;garage;luci;accendi;uguale;ON;;;lights
410;20;1- Accensione cappa;comfort;evento;kitchen;movimento;rilevazione uso piano cottura;uguale;TRUE;WHILE;;feeding
411;20;1- Accensione cappa;comfort;azione;kitchen;aspirazione;attivazione cappa;uguale;TRUE;/;;systems
412;20;2- Sveglia;wellbeing;evento;bedroom;sveglia;suonare;uguale;ON;/;;scheduling
413;20;2- Sveglia;wellbeing;azione;bedroom;tapparelle;alzare;uguale;ON;AND;;doors and windows
414;20;2- Sveglia;wellbeing;azione;bedroom;illuminazione;accensione;uguale;ON;;;lights
415;20;3-Umidificazione terreno;organizing/comfort;evento;living room;umidificatore;accensione;uguale;ON;And;;lights
416;20;3-Umidificazione terreno;organizing/comfort;condizione;living room;umidificatore;rilevamento livello umiità;minore di ;20%;;;air and humidity
417;20;3-Umidificazione terreno;organizing/comfort;azione;living room;irrigazione piante vaso;accensione;uguale;ON;;;gardening
418;20;4- Cibo e acqua gatto;comfort/wellbeing;condizione;kitchen;sensore presenza;rilevamento presenza ;uguale;TRUE;And;;pets
419;20;4- Cibo e acqua gatto;comfort/wellbeing;condizione ;kitchen;sensore cibo;presenza;uguale;FALSE;And;;pets
420;20;4- Cibo e acqua gatto;comfort/wellbeing;condizione;kitchen;sensore acqua;presenza;uguale;FALSE;;;pets
421;20;4- Cibo e acqua gatto;comfort/wellbeing;azione;kitchen;distributore cibo;accensione;uguale;ON;And;;pets
422;20;4- Cibo e acqua gatto;comfort/wellbeing;azione;kitchen;fontanella acqua;accensione;uguale;ON;;;pets
423;20;5- Rilevatore di fumo;comfort/health;evento;home;rilevatore di fumo;rilevamento fumo;uguale;TRUE;;;air and humidity
